15,14,77,2026-05-04 11:33:46.053138+00,2026-05-04 12:02:02.857288+00
25,10,4,2026-05-04 15:28:01.512905+00,2026-05-04 15:30:25.144957+00
27,7,26,2026-05-04 17:55:58.897753+00,2026-05-04 18:07:34.501663+00
54,10,77,2026-05-05 13:38:26.494415+00,2026-05-05 14:19:48.662011+00
25,7,14,2026-05-04 15:28:29.034013+00,2026-05-05 00:11:55.203511+00
35,7,16,2026-05-05 05:54:30.916956+00,2026-05-05 06:09:24.651038+00
12,6,65,2026-05-04 09:15:47.535961+00,2026-05-04 13:28:08.769906+00
12,5,54,2026-05-04 09:15:47.535961+00,2026-05-04 13:28:08.769906+00
46,5,76,2026-05-05 13:26:18.39482+00,2026-05-05 14:02:39.164835+00
11,20,1283,2026-05-04 10:57:28.434096+00,2026-05-06 00:14:44.499013+00
16,9,10,2026-05-04 13:07:59.76517+00,2026-05-04 15:22:09.20097+00
26,16,36,2026-05-04 16:38:58.170545+00,2026-05-04 16:46:35.499476+00
33,10,3,2026-05-05 03:15:10.204386+00,2026-05-05 03:15:58.241262+00
16,4,29,2026-05-04 13:06:55.214377+00,2026-05-05 01:16:03.593588+00
13,20,53,2026-05-04 13:05:36.966326+00,2026-05-05 06:14:24.567751+00
19,18,100,2026-05-04 14:17:16.943652+00,2026-05-05 17:38:59.65371+00
19,10,48,2026-05-04 14:04:17.449129+00,2026-05-05 17:34:03.893404+00
43,9,44,2026-05-05 11:00:40.155793+00,2026-05-05 12:43:15.71177+00
17,3,453,2026-05-04 13:08:41.801669+00,2026-05-05 03:18:07.353318+00
24,3,9,2026-05-04 14:52:28.176145+00,2026-05-04 14:53:27.302061+00
12,3,84,2026-05-04 09:15:49.038032+00,2026-05-04 13:28:18.277475+00
16,5,30,2026-05-04 13:07:07.220955+00,2026-05-04 15:22:19.708061+00
12,10,22,2026-05-04 09:15:52.543043+00,2026-05-04 13:28:18.77744+00
28,12,30,2026-05-04 18:34:56.989538+00,2026-05-04 18:42:18.341742+00
18,7,14,2026-05-04 13:43:19.459656+00,2026-05-04 14:11:14.272864+00
30,6,394,2026-05-05 02:42:14.62515+00,2026-05-06 01:04:39.236673+00
14,15,13,2026-05-05 13:02:37.984813+00,2026-05-05 13:08:32.467883+00
14,19,8,2026-05-05 13:03:43.688748+00,2026-05-05 13:08:32.467883+00
43,19,16,2026-05-05 16:21:31.79827+00,2026-05-05 16:30:04.23619+00
13,8,74,2026-05-04 09:17:50.158012+00,2026-05-06 00:59:39.783181+00
28,2,24,2026-05-04 18:11:28.169623+00,2026-05-04 18:25:56.869066+00
12,14,3,2026-05-04 13:25:14.434039+00,2026-05-04 13:25:15.935944+00
13,14,111,2026-05-04 13:05:40.970094+00,2026-05-05 06:14:42.584389+00
23,4,130,2026-05-04 14:55:37.37272+00,2026-05-04 15:23:38.275364+00
35,9,13,2026-05-05 05:55:27.463759+00,2026-05-05 06:09:50.158313+00
30,3,925,2026-05-05 02:41:58.604533+00,2026-05-06 01:04:46.221423+00
13,2,209,2026-05-04 09:17:47.15378+00,2026-05-06 00:59:41.725655+00
16,10,14,2026-05-04 13:07:21.728496+00,2026-05-05 01:16:17.095734+00
20,9,117,2026-05-04 15:27:07.992761+00,2026-05-05 13:34:10.772367+00
12,2,96,2026-05-04 09:15:48.036679+00,2026-05-04 13:28:25.782238+00
12,4,55,2026-05-04 09:15:52.543043+00,2026-05-04 13:28:25.782238+00
18,13,18,2026-05-04 14:04:07.298228+00,2026-05-04 14:21:17.65135+00
18,2,34,2026-05-04 13:42:32.936967+00,2026-05-04 14:11:21.786151+00
18,16,2,2026-05-04 14:03:56.789369+00,2026-05-04 14:10:19.605801+00
20,18,360,2026-05-04 15:34:17.155124+00,2026-05-05 15:44:57.038164+00
15,20,29,2026-05-04 11:33:43.048977+00,2026-05-04 12:01:13.810686+00
18,12,12,2026-05-04 14:05:29.375472+00,2026-05-04 14:21:17.65135+00
18,15,6,2026-05-04 14:04:00.794481+00,2026-05-04 14:19:17.564511+00
18,11,14,2026-05-04 14:03:59.29344+00,2026-05-04 14:21:17.65135+00
14,20,7,2026-05-04 10:57:47.947373+00,2026-05-05 13:08:37.47094+00
14,17,15,2026-05-05 13:03:07.143499+00,2026-05-05 13:08:38.470927+00
26,1,85,2026-05-04 16:28:59.373079+00,2026-05-04 16:48:59.800995+00
13,17,67,2026-05-04 13:05:50.479733+00,2026-05-05 06:14:47.088932+00
19,4,125,2026-05-04 14:04:11.443281+00,2026-05-05 17:34:16.40592+00
18,3,39,2026-05-04 13:44:23.011474+00,2026-05-04 14:11:26.792537+00
13,12,158,2026-05-04 11:08:40.401517+00,2026-05-05 06:14:47.588788+00
18,1,37,2026-05-04 13:42:27.935973+00,2026-05-04 14:11:26.792537+00
12,12,2,2026-05-04 13:25:19.44042+00,2026-05-04 13:25:20.942481+00
26,13,73,2026-05-04 16:38:46.664387+00,2026-05-04 16:47:09.029837+00
23,9,52,2026-05-04 14:57:41.500478+00,2026-05-04 15:23:50.791631+00
31,9,203,2026-05-05 02:47:18.907996+00,2026-05-06 01:02:58.90906+00
14,13,36,2026-05-04 10:57:28.434096+00,2026-05-05 13:08:41.472692+00
31,10,181,2026-05-05 02:43:45.219155+00,2026-05-06 01:00:58.793916+00
26,5,41,2026-05-04 16:30:57.987292+00,2026-05-04 16:49:02.802384+00
37,7,11,2026-05-05 09:03:21.74575+00,2026-05-05 09:21:07.065399+00
16,8,17,2026-05-04 13:06:50.211226+00,2026-05-04 15:18:43.57513+00
18,14,7,2026-05-04 14:06:47.459254+00,2026-05-04 14:20:25.57397+00
53,9,11,2026-05-05 13:28:27.462379+00,2026-05-05 13:38:13.477643+00
13,4,152,2026-05-04 09:17:51.158553+00,2026-05-06 00:59:48.605175+00
13,15,100,2026-05-04 13:05:24.95392+00,2026-05-05 06:14:55.096312+00
37,19,288,2026-05-05 09:05:02.973815+00,2026-05-05 23:02:13.699083+00
62,4,1632,2026-05-05 16:41:54.308787+00,2026-05-06 01:04:34.850546+00
14,4,31,2026-05-04 10:33:58.221326+00,2026-05-05 13:12:05.678447+00
30,5,491,2026-05-05 02:42:14.124439+00,2026-05-06 01:01:34.331474+00
14,14,17,2026-05-04 11:25:14.190038+00,2026-05-05 13:08:50.97632+00
18,20,3,2026-05-04 14:07:52.519297+00,2026-05-04 14:20:30.614134+00
16,3,30,2026-05-04 13:08:05.217362+00,2026-05-04 15:18:52.082097+00
41,11,235,2026-05-05 09:59:39.06261+00,2026-05-05 14:01:54.603775+00
19,19,93,2026-05-04 14:17:25.453674+00,2026-05-05 17:38:41.127261+00
15,18,34,2026-05-04 11:33:41.549066+00,2026-05-04 12:01:23.824445+00
38,17,849,2026-05-05 09:24:21.876522+00,2026-05-05 23:02:25.207023+00
14,6,30,2026-05-04 10:33:36.209479+00,2026-05-05 13:12:08.679411+00
14,3,50,2026-05-04 10:33:59.219638+00,2026-05-05 12:59:19.498483+00
16,7,16,2026-05-04 13:06:36.705035+00,2026-05-04 15:21:40.668289+00
14,9,16,2026-05-04 10:54:47.661829+00,2026-05-04 12:03:31.324214+00
14,8,13,2026-05-04 10:56:00.724023+00,2026-05-05 13:12:14.690037+00
23,8,72,2026-05-04 14:55:23.862368+00,2026-05-04 15:22:53.731177+00
14,1,62,2026-05-04 10:33:44.216458+00,2026-05-05 13:12:15.69064+00
18,18,3,2026-05-04 14:10:13.598148+00,2026-05-04 14:20:40.621282+00
14,7,22,2026-05-04 10:33:40.712478+00,2026-05-05 13:12:17.693137+00
15,7,1667,2026-05-04 11:31:10.781803+00,2026-05-05 17:11:33.695124+00
14,5,31,2026-05-04 10:47:32.313408+00,2026-05-05 13:12:20.697362+00
18,10,10,2026-05-04 13:43:13.454132+00,2026-05-04 14:02:38.365225+00
14,10,15,2026-05-04 10:47:38.820731+00,2026-05-05 13:12:24.700373+00
12,11,4,2026-05-04 13:24:42.400663+00,2026-05-04 13:25:30.950349+00
14,18,10,2026-05-04 10:57:20.289403+00,2026-05-05 13:08:20.964777+00
14,16,12,2026-05-04 10:57:16.42654+00,2026-05-05 13:08:23.465325+00
12,19,2,2026-05-04 13:25:18.438739+00,2026-05-04 13:25:33.453938+00
13,10,66,2026-05-04 09:17:51.158553+00,2026-05-05 06:17:04.472309+00
12,15,4,2026-05-04 13:24:59.415134+00,2026-05-04 13:25:37.458784+00
15,15,57,2026-05-04 11:33:47.054439+00,2026-05-04 12:01:40.836632+00
12,13,6,2026-05-04 13:24:43.402653+00,2026-05-04 13:25:39.96153+00
12,7,39,2026-05-04 09:16:09.8661+00,2026-05-04 13:27:59.761802+00
12,1,100,2026-05-04 09:15:45.533112+00,2026-05-04 13:28:00.761627+00
12,9,33,2026-05-04 09:16:26.583806+00,2026-05-04 13:21:54.963414+00
15,19,29,2026-05-04 11:33:48.554297+00,2026-05-04 12:01:49.844277+00
15,17,48,2026-05-04 11:34:00.566615+00,2026-05-04 12:01:50.344759+00
15,12,108,2026-05-04 11:33:42.549304+00,2026-05-04 12:01:53.850158+00
